id	count
VOG00777	698
VOG02569	697
VOG01471	693
VOG02762	693
VOG01400	693
VOG02869	692
VOG00690	689
VOG18037	689
VOG01803	688
VOG00230	687
VOG10951	685
VOG03252	682
VOG00493	682
VOG01059	680
VOG01966	679
VOG09910	675
VOG01950	674
VOG03306	672
VOG01487	660
VOG10441	660
VOG03111	658
VOG01402	656
VOG01397	653
VOG01575	648
VOG09769	646
VOG02942	642
VOG00111	636
VOG00513	628
VOG00160	628
VOG00290	626
VOG01420	625
VOG01123	623
VOG00724	623
VOG09793	619
VOG00711	618
VOG00572	613
VOG10649	612
VOG01116	605
VOG00629	605
VOG00284	604
VOG01084	602
PF01381.22	599
VOG02824	595
VOG00627	593
VOG00089	590
VOG01943	586
VOG00234	586
VOG00279	581
VOG00538	581
VOG01475	574
VOG01074	571
VOG00306	570
PF09675.10	569
VOG03664	567
VOG01430	567
VOG02778	563
VOG02938	562
VOG11947	558
VOG00097	558
VOG00224	557
VOG00567	552
VOG00793	551
VOG00410	550
VOG11950	550
VOG00698	549
VOG00283	548
VOG00908	545
VOG11949	545
PF02867.15	540
VOG00736	539
VOG00333	539
VOG00699	538
VOG10444	536
VOG00951	535
VOG09871	533
VOG03272	533
PF03796.15	528
VOG10315	528
VOG00728	527
VOG00149	526
VOG00218	525
VOG02922	524
VOG00303	523
VOG00152	522
VOG01388	521
VOG11082	519
VOG09764	518
VOG00394	516
K02314	515
VOG03109	515
VOG10445	514
VOG10359	513
PF05065.13	512
VOG00525	511
PF01555.18	510
VOG01506	502
VOG01359	502
VOG01191	497
VOG01931	497
VOG00760	497
VOG10132	495
VOG00740	494
VOG01063	493
VOG00620	492
VOG01797	492
VOG00976	492
VOG03429	491
VOG21389	489
VOG00036	488
VOG01493	487
VOG00358	487
VOG00714	486
VOG02721	486
VOG00761	485
VOG01470	484
VOG00050	484
VOG01361	483
VOG00021	482
VOG00491	480
VOG03154	479
VOG02913	479
VOG00286	479
PF04860.12	478
VOG10377	478
VOG01162	478
VOG00403	478
VOG01132	477
VOG03414	477
VOG02630	477
VOG01154	477
VOG00743	473
VOG00375	473
VOG09757	472
K10747	471
VOG00305	469
VOG00680	467
VOG00712	464
PF04851.15	463
VOG00179	463
VOG03428	462
VOG01039	460
VOG10430	457
VOG00622	456
VOG01462	456
VOG00140	454
VOG10950	453
VOG00055	453
VOG00153	451
VOG03075	451
K06909	450
VOG00754	450
VOG00389	450
K01185	448
VOG00694	448
VOG00644	448
VOG00253	447
VOG03307	446
VOG01808	446
K00525	445
VOG01888	445
VOG02592	445
VOG00122	444
VOG00124	443
VOG21781	441
VOG03023	439
VOG10431	439
VOG01041	438
PF10145.9	437
VOG00608	437
VOG10316	437
VOG02839	437
VOG01025	436
VOG00514	436
VOG01603	435
K03111	434
VOG00767	432
VOG01465	432
VOG00191	432
K03465	430
VOG00419	430
VOG00361	429
VOG02435	429
PF00436.25	428
VOG00542	428
VOG02872	428
VOG01899	427
PF11753.8	426
VOG10751	426
VOG00233	426
VOG10754	426
VOG10758	426
VOG00166	426
VOG10759	425
VOG01396	425
VOG01889	425
VOG01047	424
VOG10750	424
VOG10755	423
VOG10768	423
VOG10125	422
VOG03107	422
VOG01630	421
VOG02480	421
VOG01104	420
VOG00085	419
VOG10103	418
VOG03361	417
PF05133.14	416
VOG01023	416
PF06605.11	415
VOG00563	415
VOG01163	415
PF02511.15	414
VOG11827	414
VOG10134	414
VOG03347	413
VOG03130	412
VOG10126	412
VOG00721	411
VOG00448	411
VOG03187	410
VOG09807	409
VOG01155	409
VOG02498	409
VOG09805	408
VOG01565	408
VOG09806	408
