Entry (map)	Metabolism	Pathway	KOs
map00250	Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"	K00135~K00139~K00259~K00260~K00261~K00262~K00264~K00265~K00266~K00272~K00278~K00294~K00608~K00609~K00610~K00764~K00811~K00812~K00813~K00814~K00820~K00823~K00827~K00830~K01424~K01425~K01437~K01580~K01744~K01755~K01756~K01779~K01914~K01915~K01939~K01940~K01948~K01953~K01954~K01955~K01956~K03334~K05597~K07250~K08324~K08590~K09758~K11358~K11540~K11541~K13051~K13524~K13566~K13821~K14260~K14268~K14272~K14454~K14455~K14592~K14681~K15371~K16871~K17761~K18309~K18310~K18311~K19244~K22457~K23265~
map00260	Amino acid metabolism	"Glycine, serine and threonine metabolism"	K00003~K00018~K00049~K00050~K00058~K00060~K00090~K00108~K00130~K00133~K00273~K00274~K00276~K00281~K00282~K00283~K00301~K00302~K00303~K00304~K00305~K00306~K00309~K00314~K00315~K00382~K00499~K00542~K00544~K00552~K00600~K00605~K00613~K00639~K00643~K00827~K00830~K00831~K00836~K00865~K00872~K00928~K00998~K01079~K01620~K01694~K01695~K01696~K01697~K01733~K01752~K01753~K01754~K01758~K01834~K01837~K02203~K02204~K02437~K06001~K06718~K06720~K08688~K10150~K10674~K11440~K11529~K12235~K12524~K12525~K12526~K12972~K13042~K13290~K13745~K14085~K14272~K15633~K15634~K15635~K15783~K15784~K15785~K15786~K15789~K15893~K15918~K15919~K16066~K17103~K17217~K17755~K17989~K18896~K18897~K20498~K20801~K22305~K22982~
map00270	Amino acid metabolism	Cysteine and methionine metabolism	K00003~K00016~K00024~K00025~K00026~K00058~K00133~K00456~K00544~K00547~K00548~K00549~K00558~K00640~K00641~K00651~K00772~K00789~K00797~K00802~K00811~K00812~K00813~K00815~K00816~K00826~K00827~K00831~K00832~K00837~K00838~K00899~K00928~K01011~K01243~K01244~K01251~K01450~K01505~K01611~K01697~K01738~K01739~K01740~K01752~K01758~K01760~K01761~K01762~K01919~K01920~K03334~K05396~K05933~K07173~K08963~K08964~K08965~K08966~K08967~K08968~K08969~K09758~K09880~K10150~K10764~K11204~K11205~K11358~K12339~K12524~K12525~K12526~K12960~K13034~K13060~K13061~K13062~K14155~K14454~K14455~K16054~K16843~K16844~K16845~K16846~K17069~K17216~K17217~K17398~K17399~K17462~K17950~K17989~K18284~K19696~K20021~K20248~K20249~K20250~K20772~K21456~K21623~K22207~K22846~K22847~K22954~K22955~K22956~K22957~K22968~K23304~K23370~
map00280	Amino acid metabolism	"Valine, leucine and isoleucine degradation"	K00020~K00022~K00128~K00140~K00149~K00157~K00166~K00167~K00186~K00187~K00188~K00189~K00248~K00249~K00253~K00263~K00271~K00382~K00626~K00632~K00822~K00826~K00827~K01027~K01028~K01029~K01640~K01641~K01692~K01782~K01825~K01847~K01848~K01849~K01907~K01964~K01965~K01966~K01968~K01969~K03334~K05605~K05606~K05607~K07250~K07508~K07509~K07511~K07513~K07514~K07515~K08683~K09478~K09699~K11263~K11381~K11410~K11538~K13524~K13766~K14085~K15036~K15037~K18472~K18660~K18661~K18662~K19312~K22568~
map00290	Amino acid metabolism	"Valine, leucine and isoleucine biosynthesis"	K00052~K00053~K00263~K00826~K00835~K01649~K01652~K01653~K01687~K01702~K01703~K01704~K01754~K09011~K11258~K14260~K17989~K21359~K21360~
map00300	Amino acid metabolism	Lysine biosynthesis	K00003~K00133~K00143~K00215~K00290~K00293~K00674~K00821~K00825~K00838~K00841~K00928~K01439~K01586~K01655~K01705~K01714~K01778~K01928~K01929~K03340~K05822~K05823~K05824~K05825~K05827~K05828~K05829~K05830~K05831~K10206~K10977~K10978~K12524~K12525~K12526~K14267~K15792~K16180~K16181~K16182~K16792~K16793~K17450~K17753~
map00310	Amino acid metabolism	Lysine degradation	K00022~K00128~K00135~K00137~K00149~K00252~K00290~K00293~K00306~K00382~K00468~K00471~K00473~K00474~K00626~K00658~K00824~K00825~K01034~K01035~K01506~K01582~K01692~K01782~K01825~K01843~K01844~K03894~K03895~K03896~K03897~K06101~K07250~K07511~K07514~K07515~K09186~K09187~K09188~K09189~K09251~K11419~K11420~K11421~K11422~K11423~K11424~K11425~K11426~K11427~K11428~K11429~K11430~K11431~K11432~K11433~K11703~K13609~K13645~K13646~K13647~K14085~K14157~K14268~K14959~K15588~K15736~K15737~K15791~K17451~K18011~K18012~K18013~K18014~K18201~K18202~K18494~K18804~K18826~K18854~K19743~K20795~K20796~K21672~K22748~K23385~K23700~
map00220	Amino acid metabolism	Arginine biosynthesis	K00145~K00260~K00261~K00262~K00491~K00611~K00618~K00619~K00620~K00811~K00812~K00813~K00814~K00818~K00821~K00926~K00930~K01425~K01427~K01428~K01429~K01430~K01438~K01457~K01476~K01478~K01755~K01915~K01940~K01941~K01948~K05597~K05828~K05829~K05830~K05831~K09065~K11067~K11358~K12659~K13240~K13241~K13242~K13427~K14048~K14260~K14272~K14454~K14455~K14541~K14677~K14681~K14682~K15371~K19412~K22476~K22477~K22478~K23265~
map00330	Amino acid metabolism	Arginine and proline metabolism	K00128~K00137~K00147~K00149~K00273~K00274~K00286~K00294~K00296~K00316~K00318~K00472~K00491~K00542~K00613~K00657~K00673~K00797~K00802~K00811~K00812~K00813~K00819~K00824~K00840~K00931~K00933~K00934~K01259~K01426~K01470~K01473~K01474~K01476~K01480~K01484~K01485~K01581~K01583~K01584~K01585~K01611~K01750~K01777~K02626~K03343~K03365~K05526~K05604~K06447~K08660~K08687~K08688~K09123~K09251~K09470~K09471~K09472~K09473~K10536~K10793~K10794~K11142~K11182~K11358~K11394~K12251~K12252~K12253~K12254~K12255~K12256~K12259~K12657~K12658~K13240~K13241~K13242~K13366~K13367~K13427~K13746~K13747~K13821~K14085~K14329~K14454~K14455~K14755~K17839~K17851~K18123~K18384~K19742~K19743~K21060~K21061~K21062~K21624~K21672~K22548~K22549~K22550~K22842~K23121~K23233~
map00340	Amino acid metabolism	Histidine metabolism	K00013~K00128~K00129~K00149~K00274~K00546~K00603~K00765~K00817~K01089~K01437~K01458~K01468~K01479~K01496~K01523~K01590~K01663~K01693~K01712~K01745~K01814~K02500~K02501~K02502~K04486~K05602~K05603~K05604~K07008~K08660~K11182~K11755~K13990~K14085~K14152~K14755~K17363~K18649~K18911~K18912~K18913~K19787~K20246~K20247~K22437~
map00350	Amino acid metabolism	Tyrosine metabolism	K00001~K00055~K00121~K00129~K00135~K00151~K00157~K00270~K00274~K00276~K00422~K00431~K00450~K00451~K00455~K00457~K00483~K00484~K00501~K00503~K00505~K00506~K00545~K00553~K00811~K00812~K00813~K00815~K00817~K00832~K00838~K01555~K01557~K01592~K01593~K01618~K01668~K01800~K01801~K01826~K01827~K02509~K02510~K03334~K04072~K05821~K05921~K07253~K10219~K10774~K11358~K13371~K13372~K13951~K13952~K13953~K13954~K13980~K14454~K14455~K15849~K16163~K16164~K16165~K16171~K16901~K16902~K18606~K18857~K18933~K20758~K21425~K22203~K22327~K22329~K22330~K23109~K23470~K23492~
map00360	Amino acid metabolism	Phenylalanine metabolism	K00055~K00074~K00129~K00146~K00270~K00274~K00276~K00285~K00457~K00500~K00529~K00628~K00811~K00812~K00813~K00815~K00817~K00824~K00832~K00838~K01426~K01451~K01593~K01666~K01692~K01912~K02554~K02609~K02610~K02611~K02612~K02613~K02614~K02615~K02618~K03334~K03782~K04073~K05708~K05709~K05710~K05711~K05712~K05713~K05714~K05821~K07253~K10437~K10775~K10797~K11358~K12732~K13064~K13371~K13372~K14454~K14455~K15517~K15849~K15866~K18355~K18356~K18357~K18358~K18359~K18360~K18361~K18362~K18363~K18606~K18852~K21795~K22328~K22427~K23109~
map00380	Amino acid metabolism	Tryptophan metabolism	K00022~K00128~K00149~K00157~K00252~K00274~K00382~K00452~K00453~K00463~K00466~K00486~K00493~K00502~K00543~K00562~K00626~K00658~K00669~K00816~K00825~K00837~K00838~K01237~K01426~K01432~K01501~K01556~K01593~K01667~K01692~K01721~K01782~K01825~K03334~K03392~K03781~K03782~K04103~K07130~K07408~K07409~K07410~K07511~K07514~K07515~K10217~K11182~K11812~K11813~K11816~K11817~K11818~K11819~K11820~K11821~K11868~K14085~K14263~K14264~K14265~K14338~K15067~K15791~K16901~K16902~K16903~K20204~K20219~K20807~K21801~K22417~K22433~K22450~K22588~K23109~K23234~K23384~
map00400	Amino acid metabolism	"Phenylalanine, tyrosine and tryptophan biosynthesis"	K00014~K00210~K00211~K00220~K00270~K00500~K00766~K00800~K00811~K00812~K00813~K00815~K00817~K00832~K00838~K00891~K01609~K01626~K01656~K01657~K01658~K01694~K01695~K01696~K01713~K01735~K01736~K01817~K01850~K03334~K03785~K03786~K03856~K04092~K04093~K04516~K04517~K04518~K05358~K05359~K05821~K05887~K06001~K06208~K06209~K09483~K09484~K11358~K11646~K13497~K13498~K13501~K13503~K13829~K13830~K13832~K13853~K14170~K14187~K14454~K14455~K15226~K15227~K15652~K15849~K16305~K16306~K17748~K17749~K17750~K18239~K18240~
map00410	Metabolism of other amino acids	beta-Alanine metabolism	K00128~K00129~K00137~K00140~K00149~K00207~K00232~K00248~K00276~K00316~K00797~K00802~K00822~K00823~K01431~K01464~K01578~K01579~K01580~K01692~K01782~K01825~K01918~K05604~K05605~K07250~K07511~K07514~K07515~K08660~K09722~K12259~K13366~K13367~K13524~K13799~K14085~K14729~K14755~K15372~K17722~K17723~K17839~K18933~K18966~K23146~
map00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism	K00259~K00260~K00456~K00625~K00659~K00681~K00925~K01580~K01594~K03119~K03851~K03852~K07255~K07256~K10712~K13788~K15024~K15371~K15372~K15373~K18592~K18966~K19244~K19699~
map00440	Metabolism of other amino acids	Phosphonate and phosphinate metabolism	K00206~K00967~K00968~K00993~K00994~K01841~K03430~K03823~K05306~K05780~K06162~K06163~K06164~K06165~K06166~K06167~K09459~K09994~K12901~K12902~K12903~K12904~K12905~K12906~K12907~K12908~K12909~K12910~K12911~K12912~K12913~K12914~K12915~K13644~K18049~K19669~K19670~K20859~K20930~K21195~K21196~K21934~K22392~
map00450	Metabolism of other amino acids	Selenocompound metabolism	K00384~K00548~K00549~K00562~K00816~K00955~K00956~K00957~K00958~K01008~K01042~K01739~K01758~K01760~K01761~K01763~K01874~K03341~K07309~K07310~K08247~K10837~K11717~K12527~K12528~K12529~K13811~K14155~K17050~K17051~K17052~K22182~
map00460	Metabolism of other amino acids	Cyanoamino acid metabolism	K00495~K00600~K00681~K01188~K01424~K01455~K01501~K01914~K05349~K05350~K08248~K08249~K10566~K10675~K10814~K10815~K10816~K12153~K13027~K13029~K13030~K13031~K13032~K13033~K13034~K13035~K13051~K13401~K14577~K14984~K16265~K16266~K18282~K18592~K20802~K22706~
map00471	Metabolism of other amino acids	D-Glutamine and D-glutamate metabolism	K00261~K01425~K01776~K01924~K01925~K05597~K22210~K23169~K23170~K23265~
map00472	Metabolism of other amino acids	D-Arginine and D-ornithine metabolism	K00273~K00824~K17898~K17899~K19744~K19746~K21672~K21898~K23385~
map00473	Metabolism of other amino acids	D-Alanine metabolism	K00824~K01775~K01921~K03367~K14188~
map00480	Metabolism of other amino acids	Glutathione metabolism	K00031~K00032~K00033~K00036~K00310~K00383~K00432~K00434~K00681~K00682~K00797~K00799~K00802~K01255~K01256~K01270~K01460~K01469~K01581~K01833~K01917~K01919~K01920~K03423~K04097~K04283~K05360~K05361~K06048~K07160~K07232~K07751~K10807~K10808~K11140~K11142~K11185~K11186~K11204~K11205~K11207~K13299~K15428~K18592~K20838~K21456~K21888~K22596~K23123~K23124~
map00510	Glycan biosynthesis and metabolism	N-Glycan biosynthesis	K00717~K00721~K00726~K00729~K00730~K00736~K00737~K00738~K00744~K00778~K00779~K00902~K01001~K01228~K01230~K01231~K03842~K03843~K03844~K03845~K03846~K03847~K03848~K03849~K03850~K05546~K07151~K07252~K07432~K07441~K07966~K07967~K07968~K09658~K09659~K09661~K12345~K12666~K12667~K12668~K12669~K12670~K12691~K13748~
map00513	Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis	K00717~K00726~K00730~K00736~K00738~K00753~K00781~K01230~K01231~K03714~K03842~K03843~K03844~K03845~K03846~K03847~K05528~K05529~K05530~K05531~K05532~K05533~K05534~K05535~K05536~K05537~K05538~K07151~K07432~K07441~K07966~K07967~K07968~K09656~K09657~K09672~K09673~K12373~K12666~K12667~K12668~K12669~K12670~K12691~K13748~K14412~K14413~K14434~K14459~K14464~K20730~
map00512	Glycan biosynthesis and metabolism	Mucin type O-glycan biosynthesis	K00710~K00727~K00731~K00739~K00780~K03368~K03479~K09653~K09662~K09663~K09905~
map00515	Glycan biosynthesis and metabolism	Mannose type O-glycan biosynthesis	K00728~K00735~K00781~K03663~K07632~K07966~K07967~K07968~K09654~K09661~K09666~K09668~K09674~K10157~K17547~K18207~K19872~K19873~K21031~K21032~K21052~
map00514	Glycan biosynthesis and metabolism	Other types of O-glycan biosynthesis	K00728~K00778~K00779~K00781~K03691~K05538~K05948~K07966~K07967~K07968~K09667~K10967~K10968~K10969~K10970~K10971~K11703~K13646~K13667~K13675~K13676~K18134~K20781~K20782~K20783~K20784~
map00532	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	K00733~K00734~K00746~K00747~K00771~K01017~K01020~K01794~K03193~K03419~K04742~K04743~K07779~K08105~K08106~K10158~K13499~K13500~
map00534	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	K00733~K00734~K00771~K01024~K01793~K02366~K02367~K02368~K02369~K02370~K02513~K02514~K02576~K02577~K02578~K02579~K07808~K07809~K08102~K08103~K08104~K10158~
map00533	Glycan biosynthesis and metabolism	Glycosaminoglycan biosynthesis - keratan sulfate	K00717~K00741~K00780~K00781~K01022~K03368~K04745~K04746~K07966~K07967~K07968~K07969~K09664~K09671~
map00531	Glycan biosynthesis and metabolism	Glycosaminoglycan degradation	K01132~K01135~K01136~K01137~K01195~K01197~K01205~K01207~K01217~K01565~K07964~K07965~K10532~K12309~K12373~
map00563	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	K01127~K03434~K03857~K03858~K03859~K03860~K03861~K05283~K05284~K05285~K05286~K05287~K05288~K05289~K05290~K05291~K05292~K05293~K05294~K05310~K07541~K07542~K08098~K09658~K11001~K11002~
map00601	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - lacto and neolacto series	K00709~K00716~K00718~K00719~K00741~K00742~K00743~K00781~K01988~K03371~K03494~K03663~K03766~K03792~K03877~K07632~K07633~K07634~K07635~K07819~K07820~K07966~K07967~K07968~K07969~K07970~K07971~
map00603	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - globo and isoglobo series	K00718~K00719~K00722~K00780~K01189~K01204~K01988~K03368~K03371~K03663~K03877~K07406~K07407~K12373~K20736~
map00604	Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series	K00715~K00725~K00780~K03368~K03369~K03370~K03371~K03372~K03373~K03374~K03375~K03376~K12309~K12373~
map00540	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	K00677~K00713~K00748~K00912~K00979~K01627~K02517~K02527~K02535~K02536~K02560~K02840~K02841~K02843~K02844~K02847~K02848~K02849~K02850~K03269~K03270~K03271~K03272~K03273~K03274~K03275~K03276~K03277~K03278~K03279~K03280~K03760~K06041~K07031~K07264~K09778~K09953~K11211~K12973~K12974~K12975~K12976~K12977~K12979~K12981~K12983~K12985~K12986~K15669~K16363~K19353~K19803~K21344~K21345~K23067~K23082~K23083~K23159~K23160~
map00550	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	K00075~K00687~K00790~K00887~K01000~K01921~K01924~K01925~K01928~K01929~K02545~K02563~K03587~K03693~K03814~K04478~K05362~K05363~K05364~K05365~K05366~K05367~K05515~K06153~K07009~K07258~K07259~K07260~K08384~K08724~K11693~K11694~K11695~K12551~K12552~K12553~K12554~K12555~K12556~K15792~K18149~K18770~K18866~K19302~K21464~K21465~K21466~K21469~K23393~
map00511	Glycan biosynthesis and metabolism	Other glycan degradation	K01186~K01190~K01191~K01192~K01201~K01206~K01227~K01444~K12111~K12112~K12309~K12311~K12312~K12357~K12373~K14459~K15923~K17108~K20730~K23550~
map00571	Glycan biosynthesis and metabolism	Lipoarabinomannan (LAM) biosynthesis	K08256~K11387~K13668~K13669~K13671~K13687~K14335~K14337~K14339~K14340~K16647~K16648~K22311~K23176~
map00572	Glycan biosynthesis and metabolism	Arabinogalactan biosynthesis - Mycobacterium	K02851~K11385~K11386~K13686~K13687~K16647~K16648~K16649~K16650~K16870~K18851~K22902~
map00730	Metabolism of cofactors and vitamins	Thiamine metabolism	K00788~K00877~K00878~K00939~K00941~K00946~K00949~K01077~K01078~K01662~K03146~K03147~K03148~K03149~K03150~K03151~K03153~K03707~K04487~K05307~K06928~K06949~K07251~K10810~K10811~K14153~K14154~K14394~K18278~K20895~K20896~K21219~K21220~K22699~K22911~K23458~
map00740	Metabolism of cofactors and vitamins	Riboflavin metabolism	K00082~K00299~K00484~K00793~K00794~K00861~K00953~K01078~K01093~K01497~K01498~K01513~K02858~K03788~K04719~K05368~K05901~K07732~K08096~K09474~K11752~K11753~K14379~K14394~K14410~K14652~K14653~K14654~K14655~K14656~K15245~K16902~K18453~K19285~K19286~K20146~K20860~K20861~K20862~K20884~K21063~K21064~K22393~K22394~K22912~K22949~K23458~K23462~K23470~
